DateTime,AddedIPs,RemovedIPs
1480573965,1,0
1480579367,3,3
1480582966,4,0
1480584646,5,1
1480590165,2,4
1480597367,0,5
1480600966,2,2
1480603366,2,0
1480604567,0,3
1480608227,1,0
1480611767,3,2
1480613506,3,0
1480615370,0,1
1480618967,2,0
1480622326,3,3
1480626230,1,0
1480629768,4,6
1480632166,1,3
1480636966,2,2
1480640567,3,0
1480642246,2,0
1480644167,0,2
1480647826,0,2
1480650166,4,0
1480654966,3,6
1480658626,2,4
1480660607,4,1
1480662171,0,3
1480665767,4,1
1480669368,1,0
1480671107,2,3
1480672967,0,3
1480676568,1,0
1480680228,2,2
1480683826,1,0
1480687367,5,1
1480689767,5,1
1480694567,6,1
1480699907,5,1
1480705427,2,2
1480708187,4,3
1480708967,0,4
1480712569,3,2
1480716171,2,2
1480718567,4,1
1480723367,4,3
1480726967,2,3
1480728648,1,0
1480730627,0,3
1480734167,2,3
1480736568,2,0
1480741369,3,6
1480744969,2,3
1480747377,2,0
1480752177,0,3
1480755777,1,5
1480762977,5,1
1480765857,1,0
1480770237,1,1
1480773839,2,1
1480776117,3,6
1480777378,0,3
1480780979,4,0
1480784577,3,2
1480786257,3,2
1480788177,0,5
1480791777,4,0
1480795138,2,3
1480798977,4,2
1480802577,2,1
1480804797,5,4
1480806177,0,5
1480809779,5,1
1480813378,2,0
1480815058,1,2
1480816979,0,1
1480820580,2,0
1480823038,2,1
1480824178,0,10
1480827778,3,0
1480831378,3,3
1480833778,2,2
1480834980,0,2
1480838578,2,0
1480842178,0,1
1480843858,1,0
1480845778,0,6
1480849381,1,0
1480852978,1,5
1480856578,2,0
1480860179,2,3
1480862518,3,5
1480867380,3,4
1480870980,1,3
1480872718,3,2
1480874579,0,1
1480878178,2,2
1480881780,4,9
1480885378,4,0
1480888978,1,2
1480891139,4,3
1480896178,0,4
1480899778,1,1
1480901459,1,0
1480903379,0,3
1480906980,3,2
1480909799,2,1
1480914179,3,7
1480917779,2,0
1480920179,1,0
1480924979,6,4
1480928580,1,0
1480930319,2,0
1480932181,0,1
1480935781,2,7
1480938839,3,0
1480942979,2,2
1480946579,0,2
1480948919,4,0
1480950179,0,5
1480953779,1,2
1480957379,5,4
1480959060,7,2
1480964580,3,4
1480966860,8,0
1480968179,0,4
1480971781,7,0
1480975380,1,6
1480977120,2,0
1480978981,0,2
1480982580,4,2
1480986181,4,1
1480989782,3,7
1480993381,2,1
1480995780,4,0
1481000580,2,3
1481004180,2,1
1481005860,4,0
1481007782,0,3
1481011380,2,0
1481014020,1,0
1481018580,3,4
1481022182,0,1
1481025781,2,3
1481029380,0,1
1481032980,0,3
1481034611,3,0
1481036580,0,5
1481040182,5,0
1481043781,3,6
1481047380,1,2
1481050983,0,2
1481052721,2,0
1481054583,0,4
1481058181,4,3
1481063409,6,2
1481068982,2,5
1481071741,4,4
1481076183,1,5
1481079781,1,0
1481082121,4,3
1481083381,0,4
1481086984,3,3
1481090582,5,0
1481092212,2,5
1481094121,0,1
1481097781,3,1
1481100422,6,0
1481101382,0,3
1481104983,3,0
1481108583,1,0
1481110922,1,1
1481119382,1,0
1481121010,5,3
1481126583,0,5
1481130182,5,6
1481133782,6,0
1481137323,2,0
1481139123,1,3
1481140984,0,1
1481144582,3,3
1481146863,2,1
1481148123,0,3
1481151787,3,0
1481155384,1,6
1481157063,1,4
1481158984,0,1
1481162582,2,1
1481166184,0,5
1481169783,4,0
1481173383,2,4
1481175123,5,4
1481180583,1,3
1481184183,7,3
1481185863,5,3
1481191383,4,4
1481194985,1,0
1481198583,3,2
1481202183,4,2
1481203923,3,1
1481209385,3,5
1481212984,3,4
1481214611,3,0
1481216584,1,0
1481220126,3,6
1481223727,3,2
1481227386,7,3
1481230986,1,1
1481232726,1,2
1481238186,3,5
1481241786,1,0
1481243410,2,0
1481245388,0,1
1481248988,2,0
1481251628,2,3
1481256128,4,3
1481259730,3,3
1481261530,2,5
1481263389,0,1
1481266991,2,3
1481270589,4,4
1481272211,1,0
1481274129,0,5
1481277791,4,2
1481281391,2,0
1481284990,2,1
1481288590,5,3
1481290331,1,0
1481295792,2,4
1481299392,5,2
1481301013,0,3
1481302993,0,2
1481306593,2,0
1481309173,4,3
1481310193,0,5
1481313795,1,1
1481317333,1,0
1481319674,3,1
1481324595,8,3
1481328135,3,4
1481329814,1,0
1481335395,1,2
1481338995,0,1
1481342534,3,4
1481346196,4,7
1481348534,3,1
1481349794,0,4
1481353394,3,0
1481356934,1,7
1481358614,1,0
1481364195,1,5
1481367315,3,2
1481367794,0,1
1481371396,4,0
1481374996,1,4
1481377034,2,1
1481378596,0,2
1481382194,3,3
1481385797,2,0
1481387475,3,1
1481389396,0,2
1481392997,2,0
1481396535,0,2
1481400135,3,3
1481403796,2,3
1481405835,2,0
1481407337,0,6
1481410995,6,2
1481414597,1,0
1481416276,0,1
1481418136,0,2
1481421797,1,2
1481425396,2,5
1481428997,5,0
1481432537,1,5
1481434875,1,0
1481436196,0,5
1481439796,2,0
1481443396,2,1
1481445015,1,2
1481446997,0,1
1481453175,4,3
1481457796,5,4
1481461336,6,3
1481463736,4,2
1481468597,4,5
1481472197,5,3
1481473876,2,0
1481475736,0,8
1481479398,4,0
1481482937,1,5
1481486597,2,3
1481490196,1,0
1481492536,6,0
1481493796,0,5
