DateTime,AddedIPs,RemovedIPs
1478333380,2,0
1478355243,2,1
1478380165,1,0
1478383795,1,0
1478391146,0,1
1478398336,1,0
1478401784,1,0
1478430673,1,0
1478445062,1,0
1478466767,1,0
1478470375,2,0
1478491965,1,0
1478517065,0,4
1478542253,2,14
1478545845,0,1
1478557249,0,2
1478560436,0,1
1478571334,2,0
1478578418,1,0
1478581800,0,1
1478607095,1,2
1478610646,0,1
1478618098,0,3
1478621346,1,2
1478625170,0,4
1478643276,4,13
1478653918,1,3
1478704533,1,6
1478715273,0,1
1478740444,1,1
1478747665,0,1
1478751021,0,1
1478758321,1,1
1478765336,0,1
1478769094,0,2
1478779949,1,1
1478783766,1,0
1478794477,3,2
1478808597,0,2
1478816005,0,2
1478830300,1,2
1478841025,2,0
1478862860,0,3
1478888395,4,5
1478905831,1,3
1478920167,1,0
1478931283,1,0
1478934561,0,1
1478941824,0,1
1478945633,1,1
1478956444,0,1
1478960031,1,1
1479010679,1,0
1479017994,2,0
1479046335,0,1
1479064133,1,0
1479071561,1,0
1479103969,1,0
1479132933,0,4
1479136154,0,4
1479146947,0,3
1479154385,0,1
1479157721,0,3
1479161504,1,1
1479172233,1,0
1479175719,0,1
1479186768,1,0
1479197352,0,2
1479219183,0,3
1479222579,0,1
1479226150,1,4
1479233569,1,2
1479247970,0,3
1479254933,0,1
1479262373,1,2
1479269493,0,1
1479298156,0,3
1479305347,0,1
1479316364,1,2
1479319961,0,1
1479323556,0,1
1479334299,0,1
1479341415,0,2
1479363118,1,1
1479366714,1,0
1479373731,0,3
1479384753,1,0
1479395579,0,2
1479399219,1,3
1479402742,0,2
1479413326,1,2
1479416935,0,1
1479431536,1,0
1479460346,0,1
1479467849,1,0
1479474771,0,1
1479482009,0,1
1479492896,0,5
1479499728,1,5
1479506918,0,1
1479553909,0,1
1479557567,1,0
1479582892,0,1
1479618533,1,0
1479629441,0,1
1479643901,1,0
1479672513,1,0
1479676289,1,0
1479679877,0,1
1479694307,1,0
1479701532,0,1
1479723055,1,3
1479726563,0,1
1479730103,0,2
1479734153,0,1
1479741326,0,10
1479762912,2,4
1479773711,1,4
1479784233,1,0
1479806152,3,2
1479809736,0,1
1479824180,1,1
1479834835,0,2
1479838371,0,1
1479856162,0,1
1479863888,1,0
1479874831,0,1
1479892252,0,1
1479914204,0,2
1479917421,0,1
1479925075,0,4
1479928484,0,1
1479931996,0,2
1479953666,0,2
1479964759,2,0
1479982367,0,1
1479997067,0,2
1480029188,2,0
1480040053,0,1
1480061589,1,1
1480072374,3,0
1480079671,2,0
1480083008,2,0
1480094077,0,1
1480104553,1,0
1480108159,8,0
1480111738,1,0
1480119456,1,0
1480122580,9,0
1480126447,4,0
1480130056,4,0
1480133352,6,0
1480137236,6,0
1480140634,4,0
1480147804,16,8
1480151713,2,0
1480155202,4,0
1480158583,5,0
1480162202,7,0
1480169741,11,1
1480173215,6,0
1480180717,10,0
1480184027,2,0
1480187384,1,0
1480191244,5,0
1480194541,6,0
1480198410,6,0
1480201890,2,0
1480205549,9,0
1480209213,3,0
1480212813,4,0
1480220072,6,0
1480223449,4,0
1480227264,3,0
1480230595,3,0
1480238046,2,0
1480241456,3,0
1480245034,2,0
1480248823,3,0
1480252179,6,0
1480255762,6,0
1480259573,2,0
1480270420,14,0
1480273985,1,0
1480277605,3,0
1480281208,4,0
1480288491,3,0
1480291758,3,0
1480295677,1,0
1480299178,2,0
1480302618,1,0
1480306368,5,0
1480309909,2,0
1480313332,2,0
1480316941,8,1
1480324148,5,0
1480327474,9,0
1480331500,4,1
1480338739,9,1
1480342444,1,0
1480345780,4,1
1480349456,8,4
1480353247,5,0
1480360565,5,0
1480363764,5,0
1480367345,3,0
1480374899,15,0
1480378161,5,0
1480381979,1,1
1480385351,5,0
1480388961,2,1
1480392907,5,1
1480396202,6,1
1480403369,7,0
1480407176,3,1
1480414310,15,5
1480418007,2,0
1480421579,3,0
1480428875,15,3
1480432215,11,0
1480443359,24,2
1480450213,16,5
1480453790,4,0
1480461460,15,2
1480464568,5,0
1480468177,4,0
1480472061,2,0
1480475618,5,0
1480482643,7,0
1480490146,8,0
1480511496,44,4
1480515054,4,1
1480540433,70,14
1480543985,10,1
1480547696,13,1
1480551010,16,0
1480554843,10,1
1480562082,18,0
1480587102,88,0
1480590894,11,1
1480602154,42,3
1480615835,50,23
1480619396,13,0
1480626843,25,4
1480630176,13,0
1480634028,9,0
1480637362,9,0
1480651899,40,0
1480655667,10,0
1480659229,11,0
1480677430,50,2
1480680834,10,0
1480684192,14,2
1480687845,18,0
1480691433,18,2
1480695273,10,1
1480698669,6,2
1480702214,12,4
1480709667,16,5
1480713154,6,1
1480716567,8,0
1480724034,6,2
1480727336,3,0
1480730963,3,0
1480734542,1,0
1480738470,1,0
1480741798,3,0
1480745373,4,0
1480749195,6,0
1480756657,8,0
1480759794,3,0
1480763526,6,0
1480767163,1,0
1480777993,12,0
1480781523,2,0
1480788743,8,0
1480802984,11,0
1480806596,2,0
1480810304,5,0
1480821542,9,0
1480835334,5,0
1480842513,2,0
1480846144,3,0
1480853799,9,0
1480860723,1,0
1480871636,13,0
1480875174,4,0
1480878754,3,0
1480885705,3,0
1480889497,18,0
1480892919,2,0
1480896545,1,0
1480903751,1,0
1480911046,18,0
1480914793,1,0
1480946942,47,3
1480954367,8,2
1480957749,1,0
1480961354,6,0
1480964949,5,0
1480968568,1,0
1480972365,5,1
1480975755,1,0
1480979606,0,2
1480983126,2,1
1480990148,1,0
1480993947,3,0
1480997343,1,0
1481000950,1,0
1481004750,3,0
1481008163,4,0
1481011747,1,0
1481019377,2,7
1481022742,1,0
1481026333,8,0
1481029750,2,1
1481033572,3,2
1481044161,7,10
1481047745,4,10
1481051572,18,2
1481055040,3,0
1481058588,1,0
1481062142,3,0
1481069736,6,0
1481076927,0,1
1481080171,0,1
1481083789,1,0
1481091207,1,0
1481094601,3,0
1481098195,1,0
1481101787,1,1
1481116377,1,1
1481120197,5,1
1481123470,6,5
1481127154,21,4
1481131479,8,3
1481134527,4,3
1481137882,10,1
1481141958,3,3
1481145092,0,1
1481155915,5,1
1481159467,1,0
1481163130,1,2
1481166570,0,1
1481180979,4,0
1481184832,4,1
1481191846,12,1
1481199497,18,2
1481206561,0,1
1481209770,0,9
1481217187,1,5
1481227777,4,11
1481231503,0,1
1481238844,1,0
1481242296,1,0
1481245874,3,0
1481264083,3,1
1481267520,2,0
1481274856,3,0
1481278292,0,1
1481285598,1,3
1481300068,7,3
1481310990,6,0
1481317945,5,0
1481321343,3,0
1481325239,1,0
1481328749,1,0
1481332307,2,0
1481342949,6,0
1481368373,18,0
1481379452,2,1
1481382799,3,0
1481390067,4,0
1481393378,3,0
1481397323,2,0
1481404246,4,0
1481415516,8,0
1481426050,3,0
1481433212,1,0
1481440454,5,0
